Term,AddDate,DropStatus,DropDate,Course,Section,Location,Subject,Division,StartTime,Days,SectionNumber,TERM_DATE,TERM_START_DATE,TERM_END_DATE,TERM_EARLY_REG,DaysBeforeStart,DropDateRecode,AddDateRecode,DateFilter,Info
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,11/7/2018,1/14/2019,5/15/2019,10/29/2018,-68,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,11/8/2018,1/14/2019,5/15/2019,10/29/2018,-67,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,11/9/2018,1/14/2019,5/15/2019,10/29/2018,-66,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,11/10/2018,1/14/2019,5/15/2019,10/29/2018,-65,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,11/11/2018,1/14/2019,5/15/2019,10/29/2018,-64,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,11/12/2018,1/14/2019,5/15/2019,10/29/2018,-63,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,11/13/2018,1/14/2019,5/15/2019,10/29/2018,-62,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,11/14/2018,1/14/2019,5/15/2019,10/29/2018,-61,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,11/15/2018,1/14/2019,5/15/2019,10/29/2018,-60,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,11/16/2018,1/14/2019,5/15/2019,10/29/2018,-59,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,11/17/2018,1/14/2019,5/15/2019,10/29/2018,-58,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,11/18/2018,1/14/2019,5/15/2019,10/29/2018,-57,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,11/19/2018,1/14/2019,5/15/2019,10/29/2018,-56,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,11/20/2018,1/14/2019,5/15/2019,10/29/2018,-55,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,11/21/2018,1/14/2019,5/15/2019,10/29/2018,-54,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,11/22/2018,1/14/2019,5/15/2019,10/29/2018,-53,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,11/23/2018,1/14/2019,5/15/2019,10/29/2018,-52,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,11/24/2018,1/14/2019,5/15/2019,10/29/2018,-51,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,11/25/2018,1/14/2019,5/15/2019,10/29/2018,-50,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
