Major,Year,Students
History,2019,15
English,2019,20
Welding,2019,32
Economics,2019,16
Math,2019,21
Statistics,2019,20
Engineering,2019,30
Graphic Design,2019,2
Music,2019,5
Business,2019,36
Automotive,2019,20
Nursing,2019,32
History,2018,15
English,2018,21
Welding,2018,29
Economics,2018,17
Math,2018,19
Statistics,2018,18
Engineering,2018,31
Graphic Design,2018,5
Music,2018,7
Business,2018,35
Automotive,2018,18
Nursing,2018,33
History,2017,15
English,2017,22
Welding,2017,28
Economics,2017,18
Math,2017,17
Statistics,2017,16
Engineering,2017,28
Graphic Design,2017,7
Music,2017,10
Business,2017,34
Automotive,2017,18
Nursing,2017,34
History,2016,15
English,2016,23
Welding,2016,26
Economics,2016,19
Math,2016,15
Statistics,2016,14
Engineering,2016,27
Graphic Design,2016,8
Music,2016,12
Business,2016,33
Automotive,2016,18
Nursing,2016,34
History,2015,15
English,2015,24
Welding,2015,23
Economics,2015,20
Math,2015,13
Statistics,2015,12
Engineering,2015,26
Graphic Design,2015,9
Music,2015,15
Business,2015,30
Automotive,2015,17
Nursing,2015,35
History,2014,15
English,2014,25
Welding,2014,20
Economics,2014,21
Math,2014,12
Statistics,2014,14
Engineering,2014,25
Graphic Design,2014,10
Music,2014,12
Business,2014,31
Automotive,2014,16
Nursing,2014,34
History,2013,15
English,2013,26
Welding,2013,17
Economics,2013,22
Math,2013,11
Statistics,2013,16
Engineering,2013,25
Graphic Design,2013,12
Music,2013,11
Business,2013,30
Automotive,2013,15
Nursing,2013,33
History,2012,15
English,2012,27
Welding,2012,15
Economics,2012,23
Math,2012,9
Statistics,2012,18
Engineering,2012,25
Graphic Design,2012,14
Music,2012,9
Business,2012,32
Automotive,2012,15
Nursing,2012,32
History,2011,15
English,2011,28
Welding,2011,10
Economics,2011,24
Math,2011,7
Statistics,2011,20
Engineering,2011,24
Graphic Design,2011,15
Music,2011,7
Business,2011,31
Automotive,2011,14
Nursing,2011,30
History,2010,15
English,2010,29
Welding,2010,5
Economics,2010,25
Math,2010,5
Statistics,2010,22
Engineering,2010,23
Graphic Design,2010,16
Music,2010,5
Business,2010,30
Automotive,2010,14
Nursing,2010,30
